Ticker,Report Date,Currency,Fiscal Year,Fiscal Period,Revenue,Cost of Revenue,Operating Income (Loss),Operating Expenses,Depreciation & Amortization,EBITDA,country_code,primary_ticker,account_number,organization,survey_year,response_received_date,country,region,authority_types,activities,sectors,industries,primary_activity,primary_sector,primary_industry,primary_questionnaire_sector
ABM,10/31/19,USD,2019,FY,6498600000,-5767500000,208500000,-522600000,107400000,315900000,US,ABM US,58,ABM INDUSTRIES INC,2019,2019-07-31T22:07:54Z,United States of America,, Supply Chain, Commercial services, Commercial & consumer services, Services,Commercial services,Commercial & consumer services,Services,General
ABMC,12/31/17,USD,2017,FY,4914000,-2917000,-311000,-2308000,80000,-231000,,,,,,,,,,,,,,,,
ABMC,12/31/18,USD,2018,FY,3872000,-2584000,-762000,-2050000,81000,-681000,,,,,,,,,,,,,,,,
ABMC,12/31/19,USD,2019,FY,3655000,-2471000,-593000,-1777000,81000,-512000,,,,,,,,,,,,,,,,
ABMD,3/31/18,USD,2017,FY,593749000,-98581000,157137000,-338031000,11005000,168142000,,,,,,,,,,,,,,,,
ABMD,3/31/19,USD,2018,FY,769432000,-129567000,224812000,-415053000,14121000,238933000,,,,,,,,,,,,,,,,
ABMD,3/31/20,USD,2019,FY,840883000,-151305000,249219000,-440359000,20430000,269649000,,,,,,,,,,,,,,,,
ABT,12/31/17,USD,2017,FY,27390000000,-12337000000,1726000000,-13327000000,3021000000,4747000000,,,,,,,,,,,,,,,,
ABT,12/31/18,USD,2018,FY,30578000000,-12706000000,3650000000,-14222000000,3278000000,6928000000,US,ABT US,64,Abbott Laboratories,2018,2018-08-15T00:00:00Z,United States of America,," Investor, Supply Chain"," Health care facilities, Health care services, Health care supplies, Medical equipment, Other food processing, Pharmaceuticals"," Biotech & pharma, Food & beverage processing, Health care provision, Medical equipment & supplies, Other services"," Biotech, health care & pharma, Food, beverage & agriculture, Services",Health care supplies,Medical equipment & supplies,"Biotech, health care & pharma",General
ABT,12/31/19,USD,2019,FY,31904000000,-13231000000,4532000000,-14141000000,3014000000,7546000000,US,ABT US,64,Abbott Laboratories,2019,2019-07-31T13:03:46Z,United States of America,," Investor, Supply Chain"," Health care facilities, Health care services, Health care supplies, Medical equipment, Other food processing, Pharmaceuticals"," Biotech & pharma, Food & beverage processing, Health care provision, Medical equipment & supplies, Other services"," Biotech, health care & pharma, Food, beverage & agriculture, Services",Health care facilities,Health care provision,"Biotech, health care & pharma",General
ABTL,12/31/17,USD,2017,FY,142125000,-99352000,11567000,-31206000,7653000,19220000,,,,,,,,,,,,,,,,
ABTL,12/31/18,USD,2018,FY,125589000,-110329000,-18133000,-33393000,8544000,-9589000,,,,,,,,,,,,,,,,
ABTL,12/31/19,USD,2019,FY,113981000,-91412000,-6489000,-29058000,6454000,-35000,,,,,,,,,,,,,,,,
AC,12/31/17,USD,2017,FY,26915000,,-19673000,-46588000,16000,-19657000,,,,,,,,,,,,,,,,
AC,12/31/18,USD,2018,FY,22779000,,-13480000,-36259000,21000,-13459000,CN,AC CN,427,Air Canada,2018,2018-09-04T00:00:00Z,Canada,," Investor, Supply Chain"," Air freight, Passenger airlines", Air transport, Transportation services,Passenger airlines,Air transport,Transportation services,Transport services
AC,12/31/19,USD,2019,FY,31265000,,-10045000,-41310000,30000,-10015000,CN,AC CN,427,Air Canada,2019,2019-07-30T16:09:05Z,Canada,," Investor, Supply Chain"," Air freight, Passenger airlines", Air transport, Transportation services,Passenger airlines,Air transport,Transportation services,Transport services
ACA,12/31/17,USD,2017,FY,1462400000,-1167700000,131700000,-163000000,65700000,197400000,,,,,,,,,,,,,,,,
ACA,12/31/18,USD,2018,FY,1460400000,-1188400000,118100000,-153900000,67600000,185700000,,,,,,,,,,,,,,,,
ACA,12/31/19,USD,2019,FY,1736900000,-1404500000,152900000,-179500000,85800000,238700000,,,,,,,,,,,,,,,,
ACAD,12/31/17,USD,2017,FY,124901000,-9077000,-292410000,-408234000,2713000,-289697000,,,,,,,,,,,,,,,,
ACAD,12/31/18,USD,2018,FY,223807000,-12377000,-247444000,-458874000,3005000,-244439000,,,,,,,,,,,,,,,,
ACAD,12/31/19,USD,2019,FY,339076000,-11344000,-246545000,-574277000,2766000,-243779000,,,,,,,,,,,,,,,,
ACET,6/30/17,USD,2017,FY,638318000,-497526000,30554000,-110238000,23754000,54308000,,,,,,,,,,,,,,,,
ACET,6/30/18,USD,2018,FY,711359000,-599796000,-18746000,-130309000,32812000,14066000,,,,,,,,,,,,,,,,
ACF,6/30/17,USD,2017,FY,12151000000,,4346000000,-7805000000,6706000000,11052000000,,,,,,,,,,,,,,,,
ACF,6/30/18,USD,2018,FY,14016000000,,5577000000,-8439000000,7697000000,13274000000,,,,,,,,,,,,,,,,
ACF,6/30/19,USD,2019,FY,14554000000,,6305000000,-8249000000,7538000000,13843000000,,,,,,,,,,,,,,,,
ACGL,12/31/17,USD,2017,FY,5627375000,,990490000,-4636885000,125778000,1116268000,,,,,,,,,,,,,,,,
ACGL,12/31/18,USD,2018,FY,5450568000,,892854000,-4557714000,105670000,998524000,,,,,,,,,,,,,,,,
ACGL,12/31/19,USD,2019,FY,6928200000,,1990591000,-4937609000,82104000,2072695000,,,,,,,,,,,,,,,,
ACHC,12/31/17,USD,2017,FY,2836316000,-1923597000,437882000,-474837000,143010000,580892000,,,,,,,,,,,,,,,,
ACHC,12/31/18,USD,2018,FY,3012442000,-2086369000,390667000,-535406000,158832000,549499000,,,,,,,,,,,,,,,,
ACHC,12/31/19,USD,2019,FY,3107462000,-2163453000,404532000,-539477000,164044000,568576000,,,,,,,,,,,,,,,,
ACIA,12/31/17,USD,2017,FY,385166000,-217326000,37006000,-130834000,12280000,49286000,,,,,,,,,,,,,,,,
ACIA,12/31/18,USD,2018,FY,339891000,-192771000,-7150000,-154270000,13646000,6496000,,,,,,,,,,,,,,,,
ACIA,12/31/19,USD,2019,FY,464663000,-243981000,11401000,-209281000,12559000,23960000,,,,,,,,,,,,,,,,
ACLS,12/31/17,USD,2017,FY,410561000,-260314000,47842000,-102405000,5002000,52844000,,,,,,,,,,,,,,,,
ACLS,12/31/18,USD,2018,FY,442575000,-262939000,59959000,-119677000,5772000,65731000,,,,,,,,,,,,,,,,
ACLS,12/31/19,USD,2019,FY,342958000,-198806000,24205000,-119947000,7880000,32085000,,,,,,,,,,,,,,,,
ACLZ,12/31/17,USD,2017,FY,24104624,-9066896,-1104726,-16142454,707081,-397645,,,,,,,,,,,,,,,,
ACLZ,12/31/18,USD,2018,FY,21729605,-9075828,-8837015,-21490792,604258,-8232757,,,,,,,,,,,,,,,,
ACM,9/30/17,USD,2017,FY,18203402000,-17519682000,550411000,-133309000,278631000,829042000,,,,,,,,,,,,,,,,
ACM,9/30/18,USD,2018,FY,20155512000,-19504863000,514862000,-135787000,267570000,782432000,,,,,,,,,,,,,,,,
ACM,9/30/19,USD,2019,FY,20173329000,-19359884000,665322000,-148123000,261185000,926507000,,,,,,,,,,,,,,,,
ACN,8/31/17,USD,2017,FY,36765478000,-25734986000,4632609000,-6397883000,801789000,5434398000,,,,,,,,,,,,,,,,
ACN,8/31/18,USD,2018,FY,41603428000,-29160515000,5841041000,-6601872000,926776000,6767817000,,,,,,,,,,,,,,,,
ACN,8/31/19,USD,2019,FY,43215013000,-29900325000,6305074000,-7009614000,892760000,7197834000,,,,,,,,,,,,,,,,
ACN,8/31/20,USD,2020,FY,44327039000,-30350881000,6513644000,-7462514000,1773124000,8286768000,,,,,,,,,,,,,,,,
ACRX,12/31/17,USD,2017,FY,7995000,-10659000,-38682000,-36018000,1744000,-36938000,,,,,,,,,,,,,,,,
ACRX,12/31/18,USD,2018,FY,2151000,-3976000,-35727000,-33902000,575000,-35152000,,,,,,,,,,,,,,,,
ACRX,12/31/19,USD,2019,FY,2289000,-6806000,-54205000,-49688000,1668000,-52537000,,,,,,,,,,,,,,,,
ACY,12/31/17,USD,2017,FY,34464900,,17208300,-17256600,12025600,29233900,,,,,,,,,,,,,,,,
ACY,12/31/18,USD,2018,FY,30525100,,14434300,-16090800,12698800,27133100,,,,,,,,,,,,,,,,
ACY,12/31/19,USD,2019,FY,43442800,,26263800,-17179000,11587500,37851300,,,,,,,,,,,,,,,,
ADBE,11/30/17,USD,2017,FY,7301505000,-1010491000,2168095000,-4122919000,325997000,2494092000,,,,,,,,,,,,,,,,
ADBE,11/30/18,USD,2018,FY,9030008000,-1194999000,2840369000,-4994640000,346492000,3186861000,US,ADBE US,333,"Adobe, Inc.",2018,2018-08-15T00:00:00Z,United States of America,," Investor, Supply Chain", Software, IT & software development, Services,Software,IT & software development,Services,General
ADBE,11/30/19,USD,2019,FY,11171297000,-1672720000,3268121000,-6230456000,736669000,4004790000,US,ADBE US,333,"Adobe, Inc.",2019,2019-07-30T16:31:55Z,United States of America,," Investor, Supply Chain", Software, IT & software development, Services,Software,IT & software development,Services,General
ADES,12/31/17,USD,2017,FY,35692000,-28451000,-13814000,-21055000,789000,-13025000,,,,,,,,,,,,,,,,
ADES,12/31/18,USD,2018,FY,23945000,353000,-6400000,-30698000,723000,-5677000,,,,,,,,,,,,,,,,
ADES,12/31/19,USD,2019,FY,70086000,,-14893000,-84979000,7371000,-7522000,,,,,,,,,,,,,,,,
ADI,10/31/17,USD,2017,FY,5107503000,-2045907000,1055134000,-2006462000,584059000,1639193000,,,,,,,,,,,,,,,,
ADI,10/31/18,USD,2018,FY,6200942000,-1967640000,1881735000,-2351567000,799063000,2680798000,US,ADI US,746,"Analog Devices, Inc.",2018,2018-08-16T00:00:00Z,United States of America,," Investor, Supply Chain", Electronic components, Electrical & electronic equipment, Manufacturing,Electronic components,Electrical & electronic equipment,Manufacturing,General
ADI,10/31/19,USD,2019,FY,5991065000,-1977315000,1710608000,-2303142000,811251000,2521859000,US,ADI US,746,"Analog Devices, Inc.",2019,2019-08-29T01:53:43Z,United States of America,," Investor, Supply Chain", Electronic components, Electrical & electronic equipment, Manufacturing,Electronic components,Electrical & electronic equipment,Manufacturing,General
ADIL,12/31/17,USD,2017,FY,,,-995286,-995286,565,-994721,,,,,,,,,,,,,,,,
ADIL,12/31/18,USD,2018,FY,,,-6987222,-6987222,563,-6986659,,,,,,,,,,,,,,,,
ADIL,12/31/19,USD,2019,FY,,,-8244900,-8244900,565,-8244335,,,,,,,,,,,,,,,,
ADM,6/30/17,USD,2017,FY,60828000000,-57322000000,1513000000,-1993000000,924000000,2437000000,,,,,,,,,,,,,,,,
ADM,6/30/18,USD,2018,FY,64341000000,-60160000000,2016000000,-2165000000,941000000,2957000000,US,ADM US,912,Archer Daniels Midland,2018,2018-09-04T00:00:00Z,United States of America,," Investor, Supply Chain"," Agricultural products wholesale, Banks, Biofuel processing, Food & beverage wholesale, Grain & corn milling, Oilseed processing, Other food processing, Road freight"," Chemicals, Financial services, Food & beverage processing, Road transport, Trading, wholesale, distribution, rental & leasing"," Food, beverage & agriculture, Materials, Retail, Services, Transportation services",Oilseed processing,Food & beverage processing,"Food, beverage & agriculture","Food, beverage & tobacco"
ADM,6/30/19,USD,2019,FY,64656000000,-60509000000,1654000000,-2493000000,993000000,2647000000,US,ADM US,912,Archer Daniels Midland,2019,2019-08-05T18:09:13Z,United States of America,," Investor, Supply Chain"," Agricultural products wholesale, Banks, Biofuel processing, Food & beverage wholesale, Grain & corn milling, Oilseed processing, Other food processing, Road freight"," Chemicals, Financial services, Food & beverage processing, Road transport, Trading, wholesale, distribution, rental & leasing"," Food, beverage & agriculture, Materials, Retail, Services, Transportation services",Oilseed processing,Food & beverage processing,"Food, beverage & agriculture","Food, beverage & tobacco"
ADMA,12/31/17,USD,2017,FY,22760560,-29164321,-38464607,-32060846,2692301,-35772306,,,,,,,,,,,,,,,,
ADMA,12/31/18,USD,2018,FY,16985290,-42194635,-60288944,-35079599,3446398,-56842546,,,,,,,,,,,,,,,,
ADMA,12/31/19,USD,2019,FY,29349083,-39504238,-41424327,-31269172,3258148,-38166179,,,,,,,,,,,,,,,,
ADP,6/30/17,USD,2017,FY,12379800000,-7269800000,2326800000,-2783200000,316100000,2642900000,,,,,,,,,,,,,,,,
ADP,6/30/18,USD,2018,FY,13325800000,-7842600000,2511700000,-2971500000,377600000,2889300000,US,ADP US,1203,"Automatic Data Processing, Inc.",2018,2018-09-06T00:00:00Z,United States of America,," Investor, Supply Chain"," Banks, Other financial"," Financial services, Specialized professional services", Services,Banks,Financial services,Services,General
ADP,6/30/19,USD,2019,FY,14175200000,-8086600000,3024400000,-3064200000,409000000,3433400000,US,ADP US,1203,"Automatic Data Processing, Inc.",2019,2019-07-30T12:42:56Z,United States of America,," Investor, Supply Chain"," Banks, Other financial"," Financial services, Specialized professional services", Services,Other financial,Specialized professional services,Services,General
ADP,6/30/20,USD,2020,FY,14589800000,-8445100000,3141700000,-3003000000,480000000,3621700000,US,ADP US,1203,"Automatic Data Processing, Inc.",2020,2020-08-24T23:54:34Z,United States of America,," Investor, Supply Chain"," Banks, Other financial"," Financial services, Specialized professional services", Services,Other financial,Specialized professional services,Services,General
ADRO,12/31/17,USD,2017,FY,17239000,,-106453000,-123692000,3985000,-102468000,,,,,,,,,,,,,,,,
ADRO,12/31/18,USD,2018,FY,15087000,,-97368000,-112455000,4953000,-92415000,,,,,,,,,,,,,,,,
ADRO,12/31/19,USD,2019,FY,17258000,,-85136000,-102394000,4863000,-80273000,,,,,,,,,,,,,,,,
ADS,12/31/17,USD,2017,FY,7719400000,-4269900000,1645500000,-1804000000,497600000,2143100000,,,,,,,,,,,,,,,,
ADS,12/31/18,USD,2018,FY,7791200000,-4220900000,1894300000,-1676000000,487300000,2381600000,US,ADS US,40183,Alliance Data Systems,2018,2018-08-16T00:00:00Z,United States of America,," Investor, Supply Chain"," Banks, Marketing, Other financial"," Financial services, Specialized professional services, Web & marketing services", Services,Banks,Financial services,Services,General
ADS,12/31/19,USD,2019,FY,5581300000,-2687800000,1379300000,-1514200000,249300000,1628600000,US,ADS US,40183,Alliance Data Systems,2019,2019-06-27T18:59:53Z,United States of America,," Investor, Supply Chain"," Banks, Marketing, Other financial"," Financial services, Specialized professional services, Web & marketing services", Services,Banks,Financial services,Services,General
ADSK,1/31/18,USD,2017,FY,2056600000,-303400000,-415000000,-2168200000,108400000,-306600000,,,,,,,,,,,,,,,,
ADSK,1/31/19,USD,2018,FY,2569800000,-285900000,16900000,-2267000000,95200000,112100000,US,ADSK US,1198,"Autodesk, Inc.",2018,2018-08-31T00:00:00Z,United States of America,," Investor, Supply Chain", Software, IT & software development, Services,Software,IT & software development,Services,General
ADSK,1/31/20,USD,2019,FY,3274300000,-324900000,343500000,-2605900000,127300000,470800000,US,ADSK US,1198,"Autodesk, Inc.",2019,2019-07-31T17:13:44Z,United States of America,, Investor, Software, IT & software development, Services,Software,IT & software development,Services,General
ADT,12/31/17,USD,2017,FY,4315502000,-895736000,347267000,-3072499000,1863299000,2210566000,,,,,,,,,,,,,,,,
ADT,12/31/18,USD,2018,FY,4581673000,-1041336000,362458000,-3177879000,1930929000,2293387000,,,,,,,,,,,,,,,,
ADT,12/31/19,USD,2019,FY,5125657000,-1390284000,339759000,-3395614000,1989082000,2328841000,,,,,,,,,,,,,,,,
ADVM,12/31/17,USD,2017,FY,1849000,,-58847000,-60696000,2096000,-56751000,,,,,,,,,,,,,,,,
ADVM,12/31/18,USD,2018,FY,1612000,,-73081000,-74693000,1750000,-71331000,,,,,,,,,,,,,,,,
ADVM,12/31/19,USD,2019,FY,250000,,-68545000,-68795000,1573000,-66972000,,,,,,,,,,,,,,,,
AE,12/31/17,USD,2017,FY,1322060000,-49486000,1505000,-1271069000,13599000,15104000,,,,,,,,,,,,,,,,
AE,12/31/18,USD,2018,FY,1750213000,-48169000,1408000,-1700636000,10654000,12062000,,,,,,,,,,,,,,,,
AE,12/31/19,USD,2019,FY,1811247000,-53392000,7800000,-1750055000,16641000,24441000,,,,,,,,,,,,,,,,
AEE,12/31/17,USD,2017,FY,6177000000,-1686000000,1458000000,-3033000000,876000000,2334000000,,,,,,,,,,,,,,,,
AEE,12/31/18,USD,2018,FY,6291000000,-1350000000,1357000000,-3584000000,938000000,2295000000,US,AEE US,661,Ameren Corporation,2018,2018-08-15T00:00:00Z,United States of America,," Investor, Supply Chain", Electricity networks, Energy utility networks, Infrastructure,Electricity networks,Energy utility networks,Infrastructure,
AEE,12/31/19,USD,2019,FY,5910000000,-1422000000,1267000000,-3221000000,1002000000,2269000000,US,AEE US,661,Ameren Corporation,2019,2019-07-31T19:21:35Z,United States of America,," Investor, Supply Chain", Electricity networks, Energy utility networks, Infrastructure,Electricity networks,Energy utility networks,Infrastructure,
AEHR,5/31/17,USD,2017,FY,18898000,-12118000,-4929000,-11709000,271000,-4658000,,,,,,,,,,,,,,,,
AEHR,5/31/18,USD,2018,FY,29555000,-17169000,915000,-11471000,417000,1332000,,,,,,,,,,,,,,,,
AEHR,5/31/19,USD,2019,FY,21056000,-13454000,-4275000,-11877000,431000,-3844000,,,,,,,,,,,,,,,,
AEHR,5/31/20,USD,2020,FY,22291000,-13920000,-2545000,-10916000,384000,-2161000,,,,,,,,,,,,,,,,
AEIS,12/31/17,USD,2017,FY,671012000,-314631000,200770000,-155611000,9424000,210194000,,,,,,,,,,,,,,,,
AEIS,12/31/18,USD,2018,FY,718892000,-353285000,175792000,-189815000,13592000,189384000,,,,,,,,,,,,,,,,
AEIS,12/31/19,USD,2019,FY,788948000,-473296000,59426000,-256226000,26147000,85573000,,,,,,,,,,,,,,,,
AEO,1/31/18,USD,2017,FY,3795549000,-2425044000,302788000,-1067717000,169473000,472261000,,,,,,,,,,,,,,,,
AEO,1/31/19,USD,2018,FY,4035720000,-2548082000,337129000,-1150509000,170504000,507633000,,,,,,,,,,,,,,,,
